sprint_id,task_id,estimation_days,actual_days,created,start,end,priority,status,reopened_count,is_bug
1,S01T1,7,5,2025-05-28 00:01:02.350879,2025-05-28 00:01:02.350879,2025-06-02 00:01:02.350879,Low,Done,0,False
1,S01T2,4,5,2025-05-26 00:01:02.350879,2025-05-27 00:01:02.350879,2025-06-01 00:01:02.350879,Low,In Progress,1,False
1,S01T3,1,1,2025-05-27 00:01:02.350879,2025-05-27 00:01:02.350879,2025-05-28 00:01:02.350879,Low,In Progress,0,True
1,S01T4,7,3,2025-05-29 00:01:02.350879,2025-05-30 00:01:02.350879,2025-06-02 00:01:02.350879,High,Done,0,False
1,S01T5,3,3,2025-05-24 00:01:02.350879,2025-05-24 00:01:02.350879,2025-05-27 00:01:02.350879,Low,Reopened,0,False
1,S01T6,2,3,2025-05-28 00:01:02.350879,2025-05-29 00:01:02.350879,2025-06-01 00:01:02.350879,Medium,Done,0,False
1,S01T7,7,6,2025-05-25 00:01:02.350879,2025-05-26 00:01:02.350879,2025-06-01 00:01:02.350879,High,Done,0,False
1,S01T8,5,2,2025-05-30 00:01:02.350879,2025-05-31 00:01:02.350879,2025-06-02 00:01:02.350879,High,Reopened,1,False
1,S01T9,6,3,2025-05-25 00:01:02.350879,2025-05-25 00:01:02.350879,2025-05-28 00:01:02.350879,High,Done,0,False
1,S01T10,1,1,2025-05-28 00:01:02.350879,2025-05-28 00:01:02.350879,2025-05-29 00:01:02.350879,Low,Done,0,False
1,S01T11,7,8,2025-05-26 00:01:02.350879,2025-05-26 00:01:02.350879,2025-06-03 00:01:02.350879,High,Done,0,True
1,S01T12,7,8,2025-05-24 00:01:02.350879,2025-05-25 00:01:02.350879,2025-06-02 00:01:02.350879,Medium,Done,0,False
1,S01T13,5,6,2025-05-26 00:01:02.350879,2025-05-26 00:01:02.350879,2025-06-01 00:01:02.350879,Medium,Done,0,False
1,S01T14,2,4,2025-05-30 00:01:02.350879,2025-05-30 00:01:02.350879,2025-06-03 00:01:02.350879,Low,Done,0,True
1,S01T15,4,1,2025-05-27 00:01:02.350879,2025-05-28 00:01:02.350879,2025-05-29 00:01:02.350879,Low,In Progress,0,True
1,S01T16,5,7,2025-05-30 00:01:02.350879,2025-05-30 00:01:02.350879,2025-06-06 00:01:02.350879,Medium,Blocked,0,True
1,S01T17,5,5,2025-05-27 00:01:02.350879,2025-05-28 00:01:02.350879,2025-06-02 00:01:02.350879,High,Done,0,False
